Date,daily_sentiment
2019-01-01,-0.3358759693801403
2019-01-02,-0.4240866140885787
2019-01-03,-0.5338725845019022
2019-01-04,-0.1960765264100498
2019-01-05,-0.3811326082795858
2019-01-06,-0.1476802051067352
2019-01-07,-0.3300939343041844
2019-01-08,0.0799352878497706
2019-01-09,-0.6567210751984801
2019-01-10,-0.5082490618985432
2019-01-11,-0.5555513948202133
2019-01-12,-0.6307028837502002
2019-01-13,0.090031406709126
2019-01-14,-0.4005702798339454
2019-01-15,0.0541764668055943
2019-01-16,-0.4142881333827972
2019-01-17,-0.7230966456234456
2019-01-18,-0.6789242917937892
2019-01-19,0.2857628911733627
2019-01-20,-0.3035131939169433
2019-01-21,-0.3933687297006448
2019-01-22,-0.3886830322444439
2019-01-23,-0.380352058662818
2019-01-24,-0.1997205872427333
2019-01-25,-0.2212743982672691
2019-01-26,0.1171481747712407
2019-01-27,-0.41790753758202
2019-01-28,-0.2386069068064291
2019-01-29,-0.5913777314126492
2019-01-30,-0.1714205058912436
2019-01-31,-0.4271081155882432
2019-02-01,-0.2578174462541938
2019-02-02,-0.4460972966626286
2019-02-03,-0.254873327496979
2019-02-04,-0.5126211823274692
2019-02-05,-0.2999776469336616
2019-02-06,-0.2987266946583986
2019-02-07,-0.7971341411272684
2019-02-08,-0.1520789195783436
2019-02-09,-0.6353723257780074
2019-02-10,-0.0502226706594229
2019-02-11,-0.3871630791885157
2019-02-12,-0.302509672407593
2019-02-13,-0.4466946912663324
2019-02-14,-0.3930169828236103
2019-02-15,0.055190476988043
2019-02-16,-0.3996884835263093
2019-02-17,-0.0815911883754389
2019-02-18,-0.2419596494485934
2019-02-19,-0.5432284772396088
2019-02-20,-0.4813094455748796
2019-02-21,-0.3355535386273494
2019-02-22,-0.1982016026973724
2019-02-23,-0.3873266018927097
2019-02-24,-0.1513103108320917
2019-02-25,-0.2496406930414113
2019-02-26,-0.3403366064796081
2019-02-27,-0.097742756207784
2019-02-28,-0.5779758406803012
2019-03-01,-0.177712673942248
2019-03-02,-0.1442354556173086
2019-03-03,-0.4250623745222886
2019-03-04,-0.4828917264110512
2019-03-05,-0.5081435281496781
2019-03-06,-0.4494342617690563
2019-03-07,-0.1689649321138858
2019-03-08,-0.3850017559404174
2019-03-09,-0.1862708274275064
2019-03-10,0.0926528945565223
2019-03-11,-0.3674587458372116
2019-03-12,-0.4464853297580372
2019-03-13,-0.0999612880249818
2019-03-14,0.2249731471141179
2019-03-15,-0.4223434930401189
2019-03-16,-0.1200789390131831
2019-03-17,-0.0077270213514565
2019-03-18,-0.3201605487200948
2019-03-19,-0.6928539723157883
2019-03-20,0.0729276090860366
2019-03-21,-0.0368549227714538
2019-03-22,-0.1590727052905342
2019-03-23,-0.2687639147043228
2019-03-24,-0.37684266269207
2019-03-25,-0.293701018799435
2019-03-26,-0.1349597380807002
2019-03-27,-0.3481873130569091
2019-03-28,-0.4656040640547871
2019-03-29,-0.3332745070968356
2019-03-30,-0.4093732732451624
2019-03-31,-0.1161379152908921
2019-04-01,-0.2940108572894876
2019-04-02,-0.250566432873408
2019-04-03,-0.6297091878950596
2019-04-04,-0.4541307083434528
2019-04-05,-0.1841715648770332
2019-04-06,0.0559956863522529
2019-04-07,-0.0211509850162726
2019-04-08,-0.4611492265015841
2019-04-09,-0.437107877805829
2019-04-10,-0.2017839989314476
2019-04-11,-0.3046105531975627
2019-04-12,-0.3350961261561939
2019-04-13,-0.3061193625132242
2019-04-14,-0.0849800469974676
2019-04-15,-0.0786677156575024
2019-04-16,0.0992465955870492
2019-04-17,-0.1462125126272439
2019-04-18,-0.2201898669203122
2019-04-19,-0.149538055062294
2019-04-20,0.108011670410633
2019-04-21,-0.300685117021203
2019-04-22,-0.0785171752795576
2019-04-23,-0.2149542838335037
2019-04-24,-0.2642266896242897
2019-04-25,-0.2403759493802984
2019-04-26,-0.072488862555474
2019-04-27,-0.1408152692019939
2019-04-28,-0.2758905934169888
2019-04-29,-0.2190448191355575
2019-04-30,-0.2296305231750011
2019-05-01,-0.4969539825494091
2019-05-02,-0.2148471491943512
2019-05-03,-0.0688637346029281
2019-05-04,-0.4134506553411484
2019-05-05,-0.1509404679139455
2019-05-06,-0.4158449065354135
2019-05-07,-0.2893196683038365
2019-05-08,-0.3371348655359311
2019-05-09,-0.035708220785155
2019-05-10,-0.0690116049213843
2019-05-11,-0.1248737104237079
2019-05-12,-0.3826376551555263
2019-05-13,-0.4679766753688454
2019-05-14,-0.3934913016855716
2019-05-15,-0.101888357238336
2019-05-16,-0.1426823255247794
2019-05-17,-0.5276132866740226
2019-05-18,-0.2183595163126786
2019-05-19,-0.1696095865219831
2019-05-20,-0.476323206316341
2019-05-21,-0.7369836541739377
2019-05-22,-0.5782380618832328
2019-05-23,-0.1325888464396649
2019-05-24,-0.3044969522290759
2019-05-25,-0.0397336687892675
2019-05-26,-0.0115611406250132
2019-05-27,-0.0405181646347045
2019-05-28,-0.4037720418224732
2019-05-29,-0.2651628223247826
2019-05-30,-0.3306647181510925
2019-05-31,-0.8027366002400717
2019-06-01,-0.0810062903910875
2019-06-02,-0.232259971400102
2019-06-03,-0.4101517337063948
2019-06-04,-0.4369549602270126
2019-06-05,-0.4945120989744152
2019-06-06,-0.4506801165640354
2019-06-07,-0.5554291009902954
2019-06-08,-0.0634028119966387
2019-06-09,-0.3475251495838165
2019-06-10,-0.1922551976008848
2019-06-11,-0.2304039289328185
2019-06-12,-0.1869383255163064
2019-06-13,-0.4183018261566758
2019-06-14,-0.3908850364387035
2019-06-15,-0.0289322845637798
2019-06-16,-0.349232921609655
2019-06-17,-0.2095658003042141
2019-06-18,-0.3384327246910996
2019-06-19,-0.5981442108750343
2019-06-20,-0.3464696288108825
2019-06-21,-0.3818027318588325
2019-06-22,-0.3811251744627952
2019-06-23,-0.3460597576839583
2019-06-24,-0.1616409122943878
2019-06-25,-0.016551358004411
2019-06-26,-0.5716552341526205
2019-06-27,-0.141418030915352
2019-06-28,-0.0824691198766231
2019-06-29,-0.1968149811029434
2019-06-30,-0.3302128589712083
2019-07-01,-0.0509128421545028
2019-07-02,-0.4969589478439755
2019-07-03,-0.4340062089264392
2019-07-04,-0.7510605305433273
2019-07-05,-0.3355700019747019
2019-07-06,-0.1941446587443352
2019-07-07,-0.3524572274514607
2019-07-08,-0.911947747071584
2019-07-09,-0.463759740607606
2019-07-10,0.1002687426904837
2019-07-11,-0.6891008410602808
2019-07-12,-0.5342902801930904
2019-07-13,-0.2772062228371699
2019-07-14,-0.3859789744019508
2019-07-15,-0.5652317686804703
2019-07-16,-0.2649047465529293
2019-07-17,-0.7811373834099088
2019-07-18,-0.3882615938782692
